         839067144 function calls (636176786 primitive calls) in 320.454 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 typing.py:630(copy_with)
        6    0.000    0.000    0.000    0.000 typing.py:652(__eq__)
  216/189    0.000    0.000    0.000    0.000 typing.py:661(__hash__)
       29    0.000    0.000    0.000    0.000 typing.py:701(__setattr__)
       27    0.000    0.000    0.000    0.000 typing.py:741(__getitem__)
        1    0.000    0.000    0.000    0.000 typing.py:757(__getitem_inner__)
        4    0.000    0.000    0.000    0.000 typing.py:769(<genexpr>)
   382063    0.618    0.000    0.717    0.000 typing.py:806(__new__)
        1    0.000    0.000    0.000    0.000 typing.py:816(__class_getitem__)
        2    0.000    0.000    0.000    0.000 typing.py:824(<genexpr>)
    26380    0.003    0.000    0.003    0.000 typing.py:890(cast)
   382315    0.099    0.000    0.099    0.000 {built-in method __new__ of type object at 0x108cd0050}
    32886    0.010    0.000    0.010    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    51840    0.013    0.000    0.013    0.000 {built-in method _ctypes.POINTER}
   114048    0.024    0.000    0.024    0.000 {built-in method _ctypes.byref}
      126    0.009    0.000    0.029    0.000 {built-in method _functools.reduce}
   114129    0.183    0.000    0.384    0.000 {built-in method builtins.__import__}
      126    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000  365.518  365.518 {built-in method builtins.exec}
   325358    0.048    0.000    0.048    0.000 {built-in method builtins.getattr}
   114129    0.025    0.000    0.025    0.000 {built-in method builtins.globals}
 25757365    7.869    0.000   52.559    0.000 {built-in method builtins.hasattr}
205993607/3104126   51.447    0.000   96.275    0.000 {built-in method builtins.hash}
  1214080    0.232    0.000    0.302    0.000 {built-in method builtins.isinstance}
   102808    0.013    0.000    0.013    0.000 {built-in method builtins.issubclass}
      252    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
1328074/1327444    0.183    0.000    0.202    0.000 {built-in method builtins.len}
   114129    0.097    0.000    0.097    0.000 {built-in method builtins.locals}
    16758    0.007    0.000    0.007    0.000 {built-in method builtins.max}
    10368    0.056    0.000    4.602    0.000 {built-in method builtins.min}
      162    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       27    0.019    0.001  208.835    7.735 {built-in method builtins.sorted}
      126    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
      486    0.001    0.000    0.001    0.000 {built-in method itertools.tee}
    41472    0.010    0.000    0.010    0.000 {built-in method math.sqrt}
      335    0.001    0.000    0.001    0.000 {built-in method numpy.arange}
    37215    0.024    0.000    0.024    0.000 {built-in method numpy.array}
       94    0.000    0.000    0.000    0.000 {built-in method numpy.datetime_data}
    12847    0.029    0.000    0.029    0.000 {built-in method numpy.empty}
    12260    0.002    0.000    0.002    0.000 {built-in method pandas._libs.algos.ensure_object}
