         1396267159 function calls (991483016 primitive calls) in 845.893 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 25327648   21.626    0.000  266.994    0.000 point.py:37(__init__)
   103680    0.084    0.000    0.097    0.000 polygon.py:129(__init__)
   103680    0.067    0.000    0.205    0.000 polygon.py:134(__iter__)
   103680    0.095    0.000    0.095    0.000 polygon.py:139(__next__)
   207360    0.242    0.000    0.242    0.000 polygon.py:150(__len__)
   103680    0.163    0.000    1.077    0.000 polygon.py:218(__init__)
   124416    0.317    0.000    0.910    0.000 polygon.py:246(exterior)
   103680    0.103    0.000    0.680    0.000 polygon.py:260(interiors)
   145152    0.119    0.000    0.899    0.000 polygon.py:31(__init__)
   103680    0.509    0.000    0.780    0.000 polygon.py:485(geos_polygon_from_py)
   103680    0.140    0.000    0.780    0.000 polygon.py:66(_set_coords)
 25306588   83.306    0.000  191.682    0.000 predicates.py:11(__call__)
   559872    1.045    0.000    1.484    0.000 predicates.py:23(__call__)
      126    0.000    0.000    0.001    0.000 range.py:131(_simple_new)
      126    0.000    0.000    0.000    0.000 range.py:158(_validate_dtype)
    16758    0.011    0.000    0.019    0.000 range.py:481(__len__)
      126    0.001    0.000    0.002    0.000 range.py:68(__new__)
      252    0.000    0.000    0.000    0.000 range.py:84(_ensure_int)
    16380    0.067    0.000    0.855    0.000 series.py:4019(_sanitize_array)
     4536    0.007    0.000    0.158    0.000 series.py:4036(_try_cast)
       27    0.015    0.001  896.399   33.200 sklearn.py:27(journeys)
    33386    0.018    0.000    0.018    0.000 sklearn.py:36(<lambda>)
    33386    0.087    0.000    6.626    0.000 sklearn.py:39(<dictcomp>)
   158556    0.028    0.000    0.028    0.000 sklearn.py:39(<lambda>)
       27    0.094    0.003  212.398    7.867 sklearn.py:39(<listcomp>)
    78725    0.039    0.000    0.039    0.000 sklearn.py:39(<setcomp>)
       27    0.008    0.000   17.737    0.657 sklearn.py:40(<dictcomp>)
 51525560   24.520    0.000   98.241    0.000 topology.py:16(_validate)
    82944    0.246    0.000    0.328    0.000 topology.py:54(__call__)
    41310    7.639    0.000    7.852    0.000 topology.py:63(__call__)
   186948    1.865    0.000    9.591    0.000 topology.py:76(__call__)
        6    0.000    0.000    0.000    0.000 typing.py:110(_type_check)
       27    0.000    0.000    0.000    0.000 typing.py:1413(NewType)
    94309    0.010    0.000    0.010    0.000 typing.py:1432(new_type)
        4    0.000    0.000    0.000    0.000 typing.py:162(_collect_type_vars)
        3    0.000    0.000    0.000    0.000 typing.py:173(<listcomp>)
        2    0.000    0.000    0.000    0.000 typing.py:177(_subs_tvars)
        3    0.000    0.000    0.000    0.000 typing.py:196(_check_generic)
     5666    0.002    0.000    0.003    0.000 typing.py:245(inner)
        3    0.000    0.000    0.000    0.000 typing.py:314(__eq__)
       29    0.000    0.000    0.000    0.000 typing.py:587(_is_dunder)
        4    0.000    0.000    0.000    0.000 typing.py:600(__init__)
       10    0.000    0.000    0.000    0.000 typing.py:610(<genexpr>)
        2    0.000    0.000    0.000    0.000 typing.py:618(__getitem__)
        4    0.000    0.000    0.000    0.000 typing.py:626(<genexpr>)
        3    0.000    0.000    0.000    0.000 typing.py:630(copy_with)
        6    0.000    0.000    0.000    0.000 typing.py:652(__eq__)
  216/189    0.000    0.000    0.000    0.000 typing.py:661(__hash__)
       29    0.000    0.000    0.000    0.000 typing.py:701(__setattr__)
       27    0.000    0.000    0.000    0.000 typing.py:741(__getitem__)
        1    0.000    0.000    0.000    0.000 typing.py:757(__getitem_inner__)
        4    0.000    0.000    0.000    0.000 typing.py:769(<genexpr>)
   423202    0.920    0.000    1.053    0.000 typing.py:806(__new__)
        1    0.000    0.000    0.000    0.000 typing.py:816(__class_getitem__)
        2    0.000    0.000    0.000    0.000 typing.py:824(<genexpr>)
    47354    0.006    0.000    0.006    0.000 typing.py:890(cast)
   423454    0.133    0.000    0.133    0.000 {built-in method __new__ of type object at 0x10c177050}
    32886    0.011    0.000    0.011    0.000 {built-in method _abc._abc_instancecheck}
   103680    0.026    0.000    0.026    0.000 {built-in method _ctypes.POINTER}
   228096    0.055    0.000    0.055    0.000 {built-in method _ctypes.byref}
      126    0.011    0.000    0.033    0.000 {built-in method _functools.reduce}
   228258    0.376    0.000    0.815    0.000 {built-in method builtins.__import__}
      126    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000  896.497  896.497 {built-in method builtins.exec}
   449356    0.075    0.000    0.075    0.000 {built-in method builtins.getattr}
   228258    0.051    0.000    0.051    0.000 {built-in method builtins.globals}
 51222336   14.944    0.000   70.675    0.000 {built-in method builtins.hasattr}
407880054/3096785  125.505    0.000  257.239    0.000 {built-in method builtins.hash}
 52212417    8.726    0.000    8.803    0.000 {built-in method builtins.isinstance}
   100661    0.013    0.000    0.013    0.000 {built-in method builtins.issubclass}
      252    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
77447823/77447193    7.885    0.000    7.904    0.000 {built-in method builtins.len}
   228258    0.207    0.000    0.207    0.000 {built-in method builtins.locals}
    16758    0.008    0.000    0.008    0.000 {built-in method builtins.max}
    20736    0.124    0.000   10.257    0.000 {built-in method builtins.min}
      324    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       27    0.042    0.002  629.230   23.305 {built-in method builtins.sorted}
      126    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
      972    0.001    0.000    0.001    0.000 {built-in method itertools.tee}
    82944    0.024    0.000    0.024    0.000 {built-in method math.sqrt}
      330    0.001    0.000    0.001    0.000 {built-in method numpy.arange}
    37626    0.033    0.000    0.033    0.000 {built-in method numpy.array}
       91    0.000    0.000    0.000    0.000 {built-in method numpy.datetime_data}
    12426    0.032    0.000    0.032    0.000 {built-in method numpy.empty}
    11844    0.002    0.000    0.002    0.000 {built-in method pandas._libs.algos.ensure_object}
    11844    0.009    0.000    0.009    0.000 {built-in method pandas._libs.lib.infer_datetimelike_array}
      126    0.000    0.000    0.000    0.000 {built-in method pandas._libs.lib.is_integer}
    16758    0.003    0.000    0.003    0.000 {built-in method pandas._libs.lib.is_scalar}
    10768    0.078    0.000    0.078    0.000 {built-in method pandas._libs.tslib.array_to_datetime}
   245845    0.198    0.000   22.812    0.000 {method 'add' of 'set' objects}
      126    0.000    0.000    0.001    0.000 {method 'any' of 'numpy.ndarray' objects}
   233360    0.029    0.000    0.029    0.000 {method 'append' of 'list' objects}
   157450    0.043    0.000    0.043    0.000 {method 'difference' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       17    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      207    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      252    0.000    0.000    0.000    0.000 {method 'fill' of 'numpy.ndarray' objects}
  421/330    0.002    0.000    0.005    0.000 {method 'format' of 'str' objects}
   157450    0.063    0.000   13.232    0.000 {method 'get' of 'dict' objects}
   133904    0.032    0.000    0.032    0.000 {method 'items' of 'dict' objects}
      126    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      126    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     3270    0.001    0.000    0.001    0.000 {method 'remove' of 'set' objects}
    10768    0.007    0.000    0.007    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      252    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     4536    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
       29    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
    79278    0.046    0.000    0.046    0.000 {method 'union' of 'set' objects}
      204    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      126    0.002    0.000    0.003    0.000 {pandas._libs.lib.infer_dtype}
    11844    0.165    0.000    0.165    0.000 {pandas._libs.lib.maybe_convert_objects}
   145152    0.245    0.000    0.245    0.000 {shapely.speedups._speedups.coordseq_iter}
   207360    0.641    0.000    0.657    0.000 {shapely.speedups._speedups.geos_linearring_from_py}
    62208    0.099    0.000    0.111    0.000 {shapely.speedups._speedups.geos_linestring_from_py}
