         1546132249 function calls (1546130498 primitive calls) in 1236.332 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 typing.py:618(__getitem__)
        4    0.000    0.000    0.000    0.000 typing.py:626(<genexpr>)
        3    0.000    0.000    0.000    0.000 typing.py:630(copy_with)
        6    0.000    0.000    0.000    0.000 typing.py:652(__eq__)
  216/189    0.000    0.000    0.000    0.000 typing.py:661(__hash__)
       29    0.000    0.000    0.000    0.000 typing.py:701(__setattr__)
       27    0.000    0.000    0.000    0.000 typing.py:741(__getitem__)
        1    0.000    0.000    0.000    0.000 typing.py:757(__getitem_inner__)
        4    0.000    0.000    0.000    0.000 typing.py:769(<genexpr>)
   744912    0.781    0.000    0.958    0.000 typing.py:806(__new__)
        1    0.000    0.000    0.000    0.000 typing.py:816(__class_getitem__)
        2    0.000    0.000    0.000    0.000 typing.py:824(<genexpr>)
    55422    0.007    0.000    0.007    0.000 typing.py:890(cast)
   745416    0.178    0.000    0.178    0.000 {built-in method __new__ of type object at 0x10c177050}
    64680    0.022    0.000    0.022    0.000 {built-in method _abc._abc_instancecheck}
   101925    0.024    0.000    0.024    0.000 {built-in method _ctypes.POINTER}
   224235    0.055    0.000    0.055    0.000 {built-in method _ctypes.byref}
      252    0.021    0.000    0.067    0.000 {built-in method _functools.reduce}
   224424    0.363    0.000    0.792    0.000 {built-in method builtins.__import__}
      252    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000 1236.493 1236.493 {built-in method builtins.exec}
   637693    0.100    0.000    0.100    0.000 {built-in method builtins.getattr}
   224424    0.051    0.000    0.051    0.000 {built-in method builtins.globals}
100416222   30.725    0.000  142.755    0.000 {built-in method builtins.hasattr}
7877100/7877073    0.939    0.000    0.939    0.000 {built-in method builtins.hash}
102189814   17.750    0.000   17.901    0.000 {built-in method builtins.isinstance}
   199735    0.026    0.000    0.026    0.000 {built-in method builtins.issubclass}
      504    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
152249356/152248096   15.727    0.000   15.766    0.000 {built-in method builtins.len}
   224424    0.196    0.000    0.196    0.000 {built-in method builtins.locals}
    32970    0.015    0.000    0.015    0.000 {built-in method builtins.max}
    20385    0.118    0.000    9.879    0.000 {built-in method builtins.min}
      324    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       27    0.035    0.001 1187.789   43.992 {built-in method builtins.sorted}
      252    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
      972    0.001    0.000    0.001    0.000 {built-in method itertools.tee}
    81540    0.022    0.000    0.022    0.000 {built-in method math.sqrt}
      656    0.002    0.000    0.002    0.000 {built-in method numpy.arange}
    73584    0.063    0.000    0.063    0.000 {built-in method numpy.array}
      185    0.000    0.000    0.000    0.000 {built-in method numpy.datetime_data}
    24874    0.066    0.000    0.066    0.000 {built-in method numpy.empty}
    23714    0.004    0.000    0.004    0.000 {built-in method pandas._libs.algos.ensure_object}
    23714    0.017    0.000    0.017    0.000 {built-in method pandas._libs.lib.infer_datetimelike_array}
      252    0.000    0.000    0.000    0.000 {built-in method pandas._libs.lib.is_integer}
    32970    0.005    0.000    0.005    0.000 {built-in method pandas._libs.lib.is_scalar}
    21584    0.155    0.000    0.155    0.000 {built-in method pandas._libs.tslib.array_to_datetime}
   156703    0.054    0.000    0.111    0.000 {method 'add' of 'set' objects}
      252    0.000    0.000    0.002    0.000 {method 'any' of 'numpy.ndarray' objects}
   810734    0.142    0.000    0.142    0.000 {method 'append' of 'list' objects}
   311284    0.054    0.000    0.054    0.000 {method 'difference' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       17    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      407    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      504    0.001    0.000    0.001    0.000 {method 'fill' of 'numpy.ndarray' objects}
  841/656    0.004    0.000    0.009    0.000 {method 'format' of 'str' objects}
   311284    0.096    0.000    0.214    0.000 {method 'get' of 'dict' objects}
   134440    0.032    0.000    0.032    0.000 {method 'items' of 'dict' objects}
      252    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      252    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     6510    0.001    0.000    0.001    0.000 {method 'remove' of 'set' objects}
    21584    0.015    0.000    0.015    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      504    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     8500    0.007    0.000    0.007    0.000 {method 'search' of 're.Pattern' objects}
       29    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
   156703    0.055    0.000    0.055    0.000 {method 'union' of 'set' objects}
      404    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      252    0.004    0.000    0.005    0.000 {pandas._libs.lib.infer_dtype}
    23714    0.334    0.000    0.334    0.000 {pandas._libs.lib.maybe_convert_objects}
   142695    0.037    0.000    0.037    0.000 {shapely.speedups._speedups.coordseq_iter}
   203850    0.619    0.000    0.635    0.000 {shapely.speedups._speedups.geos_linearring_from_py}
    61155    0.095    0.000    0.106    0.000 {shapely.speedups._speedups.geos_linestring_from_py}
